session_id,0
0_00006f66-33e5-4de7-a324-2d18e439fc1e,1
0_0000a72b-09ac-412f-b452-9b9e79bded8f,1
0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a,1
0_00016a3d-9076-4f67-918f-f29e3ce160dc,0
0_00018b58-deb8-4f98-ac5e-d7e01b346130,0
0_00027db1-ffe5-4b00-8eeb-8d8188451298,0
0_00029482-6542-4d3e-bb9e-ffc988f58bd6,0
0_0002fbb5-29c2-4d54-9636-e6d15e77b58c,0
0_00030fe3-298d-4930-8534-fc5a9b82971b,0
0_0003ac37-c70a-47a6-b9dc-b8b163826082,0
0_0003e8a0-ea43-47fe-ac5a-8b502f4d38ef,1
0_00041f88-6d8a-49ca-9a03-d0cfdbbafe5e,1
0_00052b3c-a5f9-4b04-90ef-6378777d89d8,1
0_00054512-7872-45c0-aaec-7b790f698a4f,1
0_0005a7a1-196e-4e08-8928-39b9a3ca2e1a,0
0_0006380b-324b-45db-a597-ac209b1375b2,1
0_000641b5-a2ce-4803-bdeb-499c548ba50d,1
0_00064a92-1353-417a-82e2-6f5e361bebff,1
0_0006bfe8-8afe-45c2-a423-00a348b775c4,1
0_0006f5f8-bd71-4d75-9cd2-6320f2e4df8e,1
0_00070b9a-c9da-404f-81d0-c22f4f79b933,0
0_00074d75-33c6-40b3-99e1-a88e9d015e42,0
0_00076eea-e6d9-4a1a-ad1a-dd083fd05a96,1
0_000796fd-ee8a-4211-a0a9-662154cb905d,0
0_00079a23-1600-486a-91bd-5208be0c745a,1
0_0007cd53-3aa5-49ba-9473-319d5d7b2534,0
0_000822a0-d9a2-4346-9fef-2b5d68e12bc2,0
0_00084b13-a3f2-4098-96b1-e30f767eba54,0
0_0008bd24-bbb0-4747-b777-7c97ce5ab3a9,0
0_0009367d-0072-4f19-8458-e291ddbbbd25,0
0_00094b63-0ef1-4cec-94e5-30879a3cce28,0
0_0009bdeb-b5b7-4073-9b01-b72a32c77cda,1
0_000a2236-9dae-4f60-b2a6-2420574a4cdc,0
0_000a6cae-aef1-4a3e-b1bd-d1971edfcb41,0
0_000af7ac-0eb1-4f29-bc50-faf8155a0812,1
0_000bd318-caf2-4366-ba56-26db623b083d,1
0_000bec52-cae6-4e1f-9518-18a4672ed8a3,1
